date,value
2013-11-06,0.2597036997096617
2013-11-07,0.25810761242374586
2013-11-08,0.25810761242374586
2013-11-09,0.25810761242374586
2013-11-10,0.25810761242374586
2013-11-11,0.25810761242374586
2013-11-12,0.25810761242374586
2013-11-13,0.25810761242374586
2013-11-14,0.25810761242374586
2013-11-15,0.25810761242374586
2013-11-16,0.25810761242374586
2013-11-17,0.25810761242374586
2013-11-18,0.25810761242374586
2013-11-19,0.25810761242374586
2013-11-20,0.25810761242374586
2013-11-21,0.25810761242374586
2013-11-22,0.25810761242374586
2013-11-23,0.25810761242374586
2013-11-24,0.25810761242374586
2013-11-25,0.25810761242374586
2013-11-26,0.25810761242374586
2013-11-27,0.25810761242374586
2013-11-28,0.25810761242374586
2013-11-29,0.25810761242374586
2013-11-30,0.25810761242374586
2013-12-01,0.25810761242374586
2013-12-02,0.25810761242374586
2013-12-03,0.25810761242374586
2013-12-04,0.25810761242374586
2013-12-05,0.25810761242374586
2013-12-06,0.25810761242374586
2013-12-07,12.978857433122744
2013-12-08,12.724442436708767
2013-12-09,0.25810761242374586
2013-12-10,0.25810761242374586
2013-12-11,0.25810761242374586
2013-12-12,0.25810761242374586
2013-12-13,11.908217777715022
2013-12-14,0.25810761242374586
2013-12-15,0.25810761242374586
2013-12-16,0.25810761242374586
2013-12-17,11.384617320847996
2013-12-18,0.25810761242374586
2013-12-19,0.25810761242374586
2013-12-20,0.25810761242374586
2013-12-21,0.25810761242374586
2013-12-22,0.25810761242374586
2013-12-23,0.25810761242374586
2013-12-24,0.25810761242374586
2013-12-25,0.25810761242374586
2013-12-26,0.25810761242374586
2013-12-27,0.25810761242374586
2013-12-28,0.25810761242374586
2013-12-29,0.25810761242374586
2013-12-30,12.039117891931774
2013-12-31,0.25810761242374586
2014-01-01,0.25810761242374586
2014-01-02,0.25810761242374586
2014-01-03,0.25810761242374586
2014-01-04,0.25810761242374586
2014-01-05,0.25810761242374586
2014-01-06,0.25810761242374586
2014-01-07,0.25810761242374586
2014-01-08,0.25810761242374586
2014-01-09,0.25810761242374586
2014-01-10,0.25810761242374586
2014-01-11,0.25810761242374586
2014-01-12,0.25810761242374586
2014-01-13,0.25810761242374586
2014-01-14,0.25810761242374586
2014-01-15,0.25810761242374586
2014-01-16,0.25810761242374586
2014-01-17,0.25810761242374586
2014-01-18,0.25810761242374586
2014-01-19,0.25810761242374586
2014-01-20,10.561914967189935
2014-01-21,0.25810761242374586
2014-01-22,0.25810761242374586
2014-01-23,0.25810761242374586
2014-01-24,0.25810761242374586
2014-01-25,0.25810761242374586
2014-01-26,0.25810761242374586
2014-01-27,10.337416407113949
2014-01-28,0.25810761242374586
2014-01-29,10.434707468982946
2014-01-30,0.25810761242374586
2014-01-31,0.25810761242374586
2014-02-01,0.25810761242374586
2014-02-02,0.25810761242374586
2014-02-03,0.25810761242374586
2014-02-04,10.434707468982946
2014-02-05,0.25810761242374586
2014-02-06,0.25810761242374586
2014-02-07,11.908217777715022
2014-02-08,0.25810761242374586
2014-02-09,0.25810761242374586
2014-02-10,0.25810761242374586
2014-02-11,0.25810761242374586
2014-02-12,0.25810761242374586
2014-02-13,0.25810761242374586
2014-02-14,0.25810761242374586
2014-02-15,0.25810761242374586
2014-02-16,0.25810761242374586
2014-02-17,0.25810761242374586
2014-02-18,0.25810761242374586
2014-02-19,0.25810761242374586
2014-02-20,10.561914967189935
2014-02-21,0.25810761242374586
2014-02-22,0.25810761242374586
2014-02-23,0.25810761242374586
2014-02-24,0.25810761242374586
2014-02-25,0.25810761242374586
2014-02-26,0.25810761242374586
2014-02-27,0.25810761242374586
2014-02-28,0.25810761242374586
2014-03-01,0.25810761242374586
2014-03-02,0.25810761242374586
2014-03-03,0.25810761242374586
2014-03-04,10.599216635547462
2014-03-05,0.25810761242374586
2014-03-06,0.25810761242374586
2014-03-07,11.122817092414484
2014-03-08,0.25810761242374586
2014-03-09,0.25810761242374586
2014-03-10,0.25810761242374586
2014-03-11,0.25810761242374586
2014-03-12,0.25810761242374586
2014-03-13,0.25810761242374586
2014-03-14,0.25810761242374586
2014-03-15,12.088404945673814
2014-03-16,0.25810761242374586
2014-03-17,0.25441499641398
2014-03-18,0.25441499641398
2014-03-19,0.25441499641398
2014-03-20,0.25441499641398
2014-03-21,0.25441499641398
2014-03-22,0.25441499641398
2014-03-23,0.25441499641398
2014-03-24,0.25441499641398
2014-03-25,0.25441499641398
2014-03-26,0.25441499641398
2014-03-27,0.25441499641398
2014-03-28,0.25441499641398
2014-03-29,0.25441499641398
2014-03-30,0.25441499641398
2014-03-31,0.25441499641398
2014-04-01,0.25441499641398
2014-04-02,0.25441499641398
2014-04-03,0.25441499641398
2014-04-04,0.25441499641398
2014-04-05,0.25441499641398
2014-04-06,0.25441499641398
2014-04-07,0.25441499641398
2014-04-08,0.25441499641398
2014-04-09,0.25441499641398
2014-04-10,0.25441499641398
2014-04-11,0.25441499641398
2014-04-12,24.678254652156067
2014-04-13,0.25441499641398
2014-04-14,0.25441499641398
2014-04-15,0.25441499641398
2014-04-16,0.25441499641398
2014-04-17,0.25441499641398
2014-04-18,0.25441499641398
2014-04-19,0.25441499641398
2014-04-20,0.25441499641398
2014-04-21,0.25441499641398
2014-04-22,0.25441499641398
2014-04-23,0.25441499641398
2014-04-24,0.25441499641398
2014-04-25,0.25441499641398
2014-04-26,0.25441499641398
2014-04-27,0.25441499641398
2014-04-28,0.25441499641398
2014-04-29,0.25441499641398
2014-04-30,0.25441499641398
2014-05-01,0.25441499641398
2014-05-02,0.25441499641398
2014-05-03,0.25441499641398
2014-05-04,0.25441499641398
2014-05-05,0.25441499641398
2014-05-06,0.25441499641398
2014-05-07,0.25441499641398
2014-05-08,0.25441499641398
2014-05-09,0.25441499641398
2014-05-10,0.25441499641398
2014-05-11,23.660594666500145
2014-05-12,0.25441499641398
2014-05-13,0.25441499641398
2014-05-14,0.25441499641398
2014-05-15,0.25441499641398
2014-05-16,0.25441499641398
2014-05-17,0.25441499641398
2014-05-18,0.25441499641398
2014-05-19,0.25441499641398
2014-05-20,0.25441499641398
2014-05-21,0.25441499641398
2014-05-22,0.25441499641398
2014-05-23,0.25441499641398
2014-05-24,0.25441499641398
2014-05-25,0.25441499641398
2014-05-26,0.25441499641398
2014-05-27,0.25441499641398
2014-05-28,0.25441499641398
2014-05-29,0.25441499641398
2014-05-30,0.25441499641398
2014-05-31,0.25441499641398
2014-06-01,0.25441499641398
2014-06-02,0.25441499641398
2014-06-03,0.25441499641398
2014-06-04,0.25441499641398
2014-06-05,0.25441499641398
2014-06-06,0.25441499641398
2014-06-07,0.25441499641398
2014-06-08,0.25441499641398
2014-06-09,0.25441499641398
2014-06-10,0.25441499641398
2014-06-11,0.25441499641398
2014-06-12,0.25441499641398
2014-06-13,0.25441499641398
2014-06-14,0.25441499641398
2014-06-15,0.25441499641398
2014-06-16,0.25441499641398
2014-06-17,0.25441499641398
2014-06-18,0.25441499641398
2014-06-19,0.25441499641398
2014-06-20,0.25441499641398
2014-06-21,0.25441499641398
2014-06-22,0.25441499641398
2014-06-23,0.25441499641398
2014-06-24,0.25441499641398
2014-06-25,0.25441499641398
2014-06-26,0.25441499641398
2014-06-27,0.25441499641398
2014-06-28,0.25441499641398
2014-06-29,0.25441499641398
2014-06-30,22.8973496772582
2014-07-01,0.25441499641398
2014-07-02,0.25441499641398
2014-07-03,0.25441499641398
2014-07-04,0.25441499641398
