date,value
2015-12-26,0.2732466633090397
2015-12-27,0.2847268327367613
2015-12-28,0.2847268327367613
2015-12-29,0.2847268327367613
2015-12-30,0.2847268327367613
2015-12-31,0.2847268327367613
2016-01-01,10.840670507168586
2016-01-02,0.2847268327367613
2016-01-03,0.2847268327367613
2016-01-04,3.8949552512374814
2016-01-05,0.2847268327367613
2016-01-06,0.2847268327367613
2016-01-07,0.2847268327367613
2016-01-08,0.2847268327367613
2016-01-09,0.2847268327367613
2016-01-10,9.271164449921123
2016-01-11,12.793140758620536
2016-01-12,0.2847268327367613
2016-01-13,0.2847268327367613
2016-01-14,0.2847268327367613
2016-01-15,0.2847268327367613
2016-01-16,0.2847268327367613
2016-01-17,0.2847268327367613
2016-01-18,3.8949552512374814
2016-01-19,0.2847268327367613
2016-01-20,0.2847268327367613
2016-01-21,8.701710784447599
2016-01-22,13.515483272048268
2016-01-23,0.2847268327367613
2016-01-24,0.2847268327367613
2016-01-25,3.8949552512374814
2016-01-26,3.8949552512374814
2016-01-27,3.8949552512374814
2016-01-28,0.2847268327367613
2016-01-29,4.033810190410587
2016-01-30,0.2847268327367613
2016-01-31,4.3115200687567965
2016-02-01,0.2847268327367613
2016-02-02,0.2847268327367613
2016-02-03,0.2847268327367613
2016-02-04,4.806755533210119
2016-02-05,17.11869473615844
2016-02-06,5.536115001028402
2016-02-07,0.2847268327367613
2016-02-08,0.2847268327367613
2016-02-09,0.2847268327367613
2016-02-10,3.8949552512374814
2016-02-11,0.2847268327367613
2016-02-12,8.701710784447599
2016-02-13,0.2847268327367613
2016-02-14,0.2847268327367613
2016-02-15,4.806755533210119
2016-02-16,0.2847268327367613
2016-02-17,0.2847268327367613
2016-02-18,0.2847268327367613
2016-02-19,0.2847268327367613
2016-02-20,4.4503750079299005
2016-02-21,0.2847268327367613
2016-02-22,0.2847268327367613
2016-02-23,0.2847268327367613
2016-02-24,0.2847268327367613
2016-02-25,12.027212370211561
2016-02-26,4.952627426773773
2016-02-27,0.2847268327367613
2016-02-28,0.2847268327367613
2016-02-29,3.7561003120643774
2016-03-01,0.2847268327367613
2016-03-02,0.2847268327367613
2016-03-03,0.2847268327367613
2016-03-04,0.2847268327367613
2016-03-05,0.2847268327367613
2016-03-06,0.2847268327367613
2016-03-07,0.2847268327367613
2016-03-08,0.2847268327367613
2016-03-09,0.2847268327367613
2016-03-10,0.2847268327367613
2016-03-11,0.2847268327367613
2016-03-12,0.2847268327367613
2016-03-13,0.2847268327367613
2016-03-14,0.2847268327367613
2016-03-15,0.2847268327367613
2016-03-16,0.2847268327367613
2016-03-17,0.2847268327367613
2016-03-18,0.2847268327367613
2016-03-19,0.2847268327367613
2016-03-20,5.3902431074647446
2016-03-21,16.410386131511814
2016-03-22,0.2847268327367613
2016-03-23,0.2847268327367613
2016-03-24,0.2847268327367613
2016-03-25,9.271164449921123
2016-03-26,0.2847268327367613
2016-03-27,0.2847268327367613
2016-03-28,9.620528020810788
2016-03-29,4.660883639646461
2016-03-30,3.8949552512374814
2016-03-31,0.2847268327367613
2016-04-01,0.2847268327367613
2016-04-02,4.4503750079299005
2016-04-03,0.2847268327367613
2016-04-04,0.2847268327367613
2016-04-05,0.2847268327367613
2016-04-06,3.7561003120643774
2016-04-07,0.2847268327367613
2016-04-08,0.2847268327367613
2016-04-09,0.2847268327367613
2016-04-10,0.2847268327367613
2016-04-11,3.8949552512374814
2016-04-12,0.2847268327367613
2016-04-13,0.2847268327367613
2016-04-14,0.2847268327367613
2016-04-15,0.2847268327367613
2016-04-16,0.2847268327367613
2016-04-17,0.2847268327367613
2016-04-18,8.416983951710838
2016-04-19,8.271112058147182
2016-04-20,0.2847268327367613
2016-04-21,8.416983951710838
2016-04-22,0.2847268327367613
2016-04-23,0.2847268327367613
2016-04-24,0.2847268327367613
2016-04-25,0.2847268327367613
2016-04-26,3.7561003120643774
2016-04-27,0.2847268327367613
2016-04-28,8.416983951710838
2016-04-29,4.033810190410587
2016-04-30,0.2847268327367613
2016-05-01,0.2847268327367613
2016-05-02,0.2847268327367613
2016-05-03,0.2847268327367613
2016-05-04,0.2847268327367613
2016-05-05,0.2917437871273133
2016-05-06,0.2917437871273133
2016-05-07,0.2917437871273133
2016-05-08,0.2917437871273133
2016-05-09,9.335801188074026
2016-05-10,0.2917437871273133
2016-05-11,0.2917437871273133
2016-05-12,0.2917437871273133
2016-05-13,0.2917437871273133
2016-05-14,0.2917437871273133
2016-05-15,0.2917437871273133
2016-05-16,0.2917437871273133
2016-05-17,9.044057400946713
2016-05-18,0.2917437871273133
2016-05-19,0.2917437871273133
2016-05-20,9.62754497520134
2016-05-21,0.2917437871273133
2016-05-22,0.2917437871273133
2016-05-23,0.2917437871273133
2016-05-24,0.2917437871273133
2016-05-25,0.2917437871273133
2016-05-26,0.2917437871273133
2016-05-27,0.2917437871273133
2016-05-28,0.2917437871273133
2016-05-29,0.2917437871273133
2016-05-30,0.2917437871273133
2016-05-31,0.2917437871273133
2016-06-01,0.2917437871273133
2016-06-02,0.2917437871273133
2016-06-03,0.2917437871273133
2016-06-04,0.2917437871273133
2016-06-05,0.2917437871273133
2016-06-06,9.335801188074026
2016-06-07,9.335801188074026
2016-06-08,0.2917437871273133
2016-06-09,0.2917437871273133
2016-06-10,0.2917437871273133
2016-06-11,0.2917437871273133
2016-06-12,0.2917437871273133
2016-06-13,9.335801188074026
2016-06-14,0.2917437871273133
2016-06-15,0.2917437871273133
2016-06-16,0.2917437871273133
2016-06-17,9.919288762328652
2016-06-18,0.2917437871273133
2016-06-19,0.2917437871273133
2016-06-20,0.2917437871273133
2016-06-21,0.2917437871273133
2016-06-22,0.2917437871273133
2016-06-23,0.2917437871273133
2016-06-24,0.2917437871273133
2016-06-25,0.2917437871273133
2016-06-26,0.2917437871273133
2016-06-27,9.335801188074026
2016-06-28,18.37985858902074
2016-06-29,0.2917437871273133
2016-06-30,0.2917437871273133
2016-07-01,9.919288762328652
2016-07-02,0.2917437871273133
2016-07-03,0.2917437871273133
2016-07-04,0.2917437871273133
2016-07-05,0.2917437871273133
2016-07-06,9.919288762328652
2016-07-07,0.2917437871273133
2016-07-08,0.2917437871273133
2016-07-09,0.2917437871273133
2016-07-10,0.2917437871273133
2016-07-11,0.2917437871273133
2016-07-12,0.2917437871273133
2016-07-13,0.2917437871273133
2016-07-14,9.335801188074026
2016-07-15,0.2917437871273133
2016-07-16,0.2917437871273133
2016-07-17,0.2917437871273133
2016-07-18,0.2917437871273133
2016-07-19,9.919288762328652
2016-07-20,0.2917437871273133
2016-07-21,29.466122499858642
2016-07-22,10.211032549455966
2016-07-23,0.2917437871273133
2016-07-24,0.2917437871273133
2016-07-25,9.919288762328652
2016-07-26,19.25508995040268
2016-07-27,9.919288762328652
2016-07-28,9.919288762328652
2016-07-29,10.211032549455966
2016-07-30,0.2917437871273133
2016-07-31,0.2917437871273133
2016-08-01,9.919288762328652
2016-08-02,0.2917437871273133
2016-08-03,0.2917437871273133
2016-08-04,0.2917437871273133
2016-08-05,0.2917437871273133
2016-08-06,0.2917437871273133
2016-08-07,0.2917437871273133
2016-08-08,20.130321311784613
2016-08-09,0.2917437871273133
2016-08-10,0.2917437871273133
2016-08-11,0.2917437871273133
2016-08-12,0.2917437871273133
2016-08-13,0.2917437871273133
2016-08-14,0.2917437871273133
2016-08-15,0.2917437871273133
2016-08-16,10.211032549455966
2016-08-17,0.2917437871273133
2016-08-18,0.2917437871273133
2016-08-19,0.2917437871273133
2016-08-20,0.2917437871273133
2016-08-21,0.2917437871273133
2016-08-22,20.130321311784613
2016-08-23,0.2917437871273133
2016-08-24,19.838577524657303
2016-08-25,0.2917437871273133
2016-08-26,10.211032549455966
2016-08-27,0.2917437871273133
2016-08-28,0.2917437871273133
2016-08-29,0.2917437871273133
2016-08-30,9.62754497520134
2016-08-31,0.2917437871273133
2016-09-01,0.2917437871273133
2016-09-02,0.2917437871273133
2016-09-03,0.2917437871273133
2016-09-04,0.2917437871273133
2016-09-05,0.2917437871273133
2016-09-06,0.2917437871273133
2016-09-07,9.62754497520134
2016-09-08,9.919288762328652
2016-09-09,0.2917437871273133
2016-09-10,0.2917437871273133
2016-09-11,0.2917437871273133
