date,value
2012-06-04,16.649883876873428
2012-06-05,0.4579628016428038
2012-06-06,11.02085649573661
2012-06-07,0.4579628016428038
2012-06-08,0.4579628016428038
2012-06-09,0.4579628016428038
2012-06-10,13.701374117415847
2012-06-11,0.4579628016428038
2012-06-12,0.4579628016428038
2012-06-13,0.4579628016428038
2012-06-14,0.4579628016428038
2012-06-15,23.12647475999835
2012-06-16,0.4579628016428038
2012-06-17,0.4579628016428038
2012-06-18,11.02085649573661
2012-06-19,0.4579628016428038
2012-06-20,0.4579628016428038
2012-06-21,0.4579628016428038
2012-06-22,0.4579628016428038
2012-06-23,0.4579628016428038
2012-06-24,0.4579628016428038
2012-06-25,0.4579628016428038
2012-06-26,0.4579628016428038
2012-06-27,0.4579628016428038
2012-06-28,0.4579628016428038
2012-06-29,0.4579628016428038
2012-06-30,0.4579628016428038
2012-07-01,0.4579628016428038
2012-07-02,0.4579628016428038
2012-07-03,0.4579628016428038
2012-07-04,0.4579628016428038
2012-07-05,0.4579628016428038
2012-07-06,23.420775180107604
2012-07-07,0.4579628016428038
2012-07-08,0.4579628016428038
2012-07-09,0.4579628016428038
2012-07-10,0.4579628016428038
2012-07-11,0.4579628016428038
2012-07-12,0.4579628016428038
2012-07-13,11.939368990875199
2012-07-14,0.4579628016428038
2012-07-15,14.15804347313216
2012-07-16,0.4579628016428038
2012-07-17,0.4579628016428038
2012-07-18,0.4579628016428038
2012-07-19,0.4579628016428038
2012-07-20,0.4579628016428038
2012-07-21,0.4579628016428038
2012-07-22,0.4579628016428038
2012-07-23,11.646362016692445
2012-07-24,0.4579628016428038
2012-07-25,0.4579628016428038
2012-07-26,0.4579628016428038
2012-07-27,0.4579628016428038
2012-07-28,0.4579628016428038
2012-07-29,0.4579628016428038
2012-07-30,0.4579628016428038
2012-07-31,0.4579628016428038
2012-08-01,11.480112743305904
2012-08-02,11.480112743305904
2012-08-03,0.4579628016428038
2012-08-04,0.4579628016428038
2012-08-05,0.4579628016428038
2012-08-06,22.440177280497387
2012-08-07,11.646362016692445
2012-08-08,0.4579628016428038
2012-08-09,11.480112743305904
2012-08-10,0.4579628016428038
2012-08-11,0.4579628016428038
2012-08-12,0.4579628016428038
2012-08-13,0.4579628016428038
2012-08-14,11.646362016692445
2012-08-15,0.4579628016428038
2012-08-16,0.4579628016428038
2012-08-17,0.4579628016428038
2012-08-18,0.4579628016428038
2012-08-19,0.4579628016428038
2012-08-20,0.4579628016428038
2012-08-21,0.4579628016428038
2012-08-22,0.4579628016428038
2012-08-23,0.4579628016428038
2012-08-24,0.4579628016428038
2012-08-25,0.4579628016428038
2012-08-26,0.4579628016428038
2012-08-27,0.4579628016428038
2012-08-28,0.4579628016428038
2012-08-29,0.4579628016428038
2012-08-30,0.4579628016428038
2012-08-31,11.8746966945506
2012-09-01,0.4579628016428038
2012-09-02,0.4579628016428038
2012-09-03,22.440177280497387
2012-09-04,0.4579628016428038
2012-09-05,21.52295823128529
2012-09-06,0.4579628016428038
2012-09-07,0.4579628016428038
2012-09-08,0.4579628016428038
2012-09-09,0.4579628016428038
2012-09-10,0.4579628016428038
2012-09-11,0.4579628016428038
2012-09-12,0.4579628016428038
2012-09-13,21.752586355069933
2012-09-14,0.4579628016428038
2012-09-15,0.4579628016428038
2012-09-16,0.4579628016428038
2012-09-17,11.189692660976133
2012-09-18,0.4579628016428038
2012-09-19,0.4579628016428038
2012-09-20,0.4579628016428038
2012-09-21,0.4579628016428038
2012-09-22,0.4579628016428038
2012-09-23,0.4579628016428038
2012-09-24,0.4579628016428038
2012-09-25,0.4579628016428038
2012-09-26,0.4579628016428038
2012-09-27,0.4579628016428038
2012-09-28,22.440177280497387
2012-09-29,0.4579628016428038
2012-09-30,25.41628876821237
2012-10-01,0.4579628016428038
2012-10-02,0.4579628016428038
2012-10-03,0.4579628016428038
2012-10-04,0.4579628016428038
2012-10-05,0.4579628016428038
2012-10-06,0.4579628016428038
2012-10-07,0.4579628016428038
2012-10-08,10.504688627401665
2012-10-09,0.4579628016428038
2012-10-10,10.331972124382665
2012-10-11,0.4579628016428038
2012-10-12,0.4579628016428038
2012-10-13,0.4566693557163118
2012-10-14,0.4566693557163118
2012-10-15,0.4566693557163118
2012-10-16,20.093451651517718
2012-10-17,20.093451651517718
2012-10-18,0.4566693557163118
2012-10-19,21.463459718666652
2012-10-20,0.4566693557163118
2012-10-21,0.4566693557163118
2012-10-22,0.4566693557163118
2012-10-23,0.4566693557163118
2012-10-24,0.4566693557163118
2012-10-25,0.4566693557163118
2012-10-26,0.4566693557163118
2012-10-27,0.4566693557163118
2012-10-28,0.4566693557163118
2012-10-29,0.4566693557163118
2012-10-30,0.4566693557163118
2012-10-31,0.4566693557163118
2012-11-01,0.4566693557163118
2012-11-02,0.4566693557163118
2012-11-03,0.4566693557163118
2012-11-04,0.4566693557163118
2012-11-05,20.093451651517718
2012-11-06,0.4566693557163118
2012-11-07,0.4566693557163118
2012-11-08,0.4566693557163118
2012-11-09,0.4566693557163118
2012-11-10,0.4566693557163118
