date,value
2017-10-03,0.0
2017-10-04,26.0
2017-10-05,0.0
2017-10-06,27.0
2017-10-07,0.0
2017-10-08,30.0
2017-10-09,0.0
2017-10-10,26.0
2017-10-11,0.0
2017-10-12,53.0
2017-10-13,0.0
2017-10-14,0.0
2017-10-15,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,0.0
2017-10-19,27.0
2017-10-20,55.0
2017-10-21,0.0
2017-10-22,0.0
2017-10-23,26.0
2017-10-24,26.0
2017-10-25,0.0
2017-10-26,0.0
2017-10-27,27.0
2017-10-28,0.0
2017-10-29,0.0
2017-10-30,26.0
2017-10-31,0.0
2017-11-01,0.0
2017-11-02,0.0
2017-11-03,26.0
2017-11-04,0.0
2017-11-05,0.0
2017-11-06,0.0
2017-11-07,51.0
2017-11-08,0.0
2017-11-09,0.0
2017-11-10,27.0
2017-11-11,0.0
2017-11-12,0.0
2017-11-13,0.0
2017-11-14,0.0
2017-11-15,50.0
2017-11-16,25.0
2017-11-17,26.0
2017-11-18,0.0
2017-11-19,0.0
2017-11-20,0.0
2017-11-21,0.0
2017-11-22,26.0
2017-11-23,0.0
2017-11-24,26.0
2017-11-25,0.0
2017-11-26,0.0
2017-11-27,0.0
2017-11-28,25.0
2017-11-29,25.0
2017-11-30,0.0
2017-12-01,27.0
2017-12-02,0.0
2017-12-03,0.0
2017-12-04,0.0
2017-12-05,0.0
2017-12-06,0.0
2017-12-07,26.0
2017-12-08,0.0
2017-12-09,0.0
2017-12-10,0.0
2017-12-11,25.0
2017-12-12,0.0
2017-12-13,25.0
2017-12-14,26.0
2017-12-15,0.0
2017-12-16,0.0
2017-12-17,0.0
2017-12-18,25.0
2017-12-19,0.0
2017-12-20,53.0
2017-12-21,0.0
2017-12-22,0.0
2017-12-23,0.0
2017-12-24,0.0
2017-12-25,0.0
2017-12-26,0.0
2017-12-27,0.0
2017-12-28,0.0
2017-12-29,0.0
2017-12-30,30.0
2017-12-31,0.0
2018-01-01,0.0
2018-01-02,53.0
2018-01-03,26.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-06,0.0
2018-01-07,0.0
2018-01-08,25.0
2018-01-09,0.0
2018-01-10,25.0
2018-01-11,0.0
2018-01-12,0.0
2018-01-13,0.0
2018-01-14,28.0
2018-01-15,25.0
2018-01-16,74.0
2018-01-17,49.0
2018-01-18,0.0
2018-01-19,26.0
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,24.0
2018-01-23,0.0
2018-01-24,24.0
2018-01-25,25.0
2018-01-26,52.0
2018-01-27,0.0
2018-01-28,0.0
2018-01-29,25.0
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,0.0
2018-02-02,26.0
2018-02-03,0.0
2018-02-04,0.0
2018-02-05,25.0
2018-02-06,49.0
2018-02-07,0.0
2018-02-08,25.0
2018-02-09,26.0
2018-02-10,28.0
2018-02-11,0.0
2018-02-12,100.0
2018-02-13,0.0
2018-02-14,25.0
2018-02-15,0.0
2018-02-16,26.0
2018-02-17,29.0
2018-02-18,0.0
2018-02-19,0.0
2018-02-20,73.0
2018-02-21,0.0
2018-02-22,0.0
2018-02-23,52.0
2018-02-24,56.0
2018-02-25,0.0
2018-02-26,0.0
2018-02-27,24.0
2018-02-28,0.0
2018-03-01,72.0
2018-03-02,51.0
2018-03-03,0.0
2018-03-04,27.0
2018-03-05,48.0
2018-03-06,0.0
2018-03-07,0.0
2018-03-08,49.0
2018-03-09,0.0
2018-03-10,0.0
