date,Apple,isPartial
2016-05-04,23,False
2016-05-05,24,False
2016-05-06,24,False
2016-05-07,24,False
2016-05-08,25,False
2016-05-09,24,False
2016-05-10,23,False
2016-05-11,23,False
2016-05-12,23,False
2016-05-13,24,False
2016-05-14,24,False
2016-05-15,24,False
2016-05-16,24,False
2016-05-17,24,False
2016-05-18,23,False
2016-05-19,23,False
2016-05-20,23,False
2016-05-21,24,False
2016-05-22,25,False
2016-05-23,23,False
2016-05-24,24,False
2016-05-25,23,False
2016-05-26,23,False
2016-05-27,23,False
2016-05-28,23,False
2016-05-29,24,False
2016-05-30,23,False
2016-05-31,23,False
2016-06-01,23,False
2016-06-02,24,False
2016-06-03,23,False
2016-06-04,25,False
2016-06-05,24,False
2016-06-06,23,False
2016-06-07,23,False
2016-06-08,23,False
2016-06-09,23,False
2016-06-10,22,False
2016-06-11,23,False
2016-06-12,24,False
2016-06-13,29,False
2016-06-14,28,False
2016-06-15,25,False
2016-06-16,23,False
2016-06-17,23,False
2016-06-18,25,False
2016-06-19,25,False
2016-06-20,24,False
2016-06-21,23,False
2016-06-22,22,False
2016-06-23,23,False
2016-06-24,23,False
2016-06-25,23,False
2016-06-26,24,False
2016-06-27,23,False
2016-06-28,23,False
2016-06-29,23,False
2016-06-30,24,False
2016-07-01,23,False
2016-07-02,24,False
2016-07-03,25,False
2016-07-04,22,False
2016-07-05,23,False
2016-07-06,25,False
2016-07-07,24,False
2016-07-08,25,False
2016-07-09,25,False
2016-07-10,25,False
2016-07-11,26,False
2016-07-12,26,False
2016-07-13,26,False
2016-07-14,24,False
2016-07-15,24,False
2016-07-16,25,False
2016-07-17,25,False
2016-07-18,24,False
2016-07-19,24,False
2016-07-20,24,False
2016-07-21,23,False
2016-07-22,24,False
2016-07-23,24,False
2016-07-24,25,False
2016-07-25,25,False
2016-07-26,25,False
2016-07-27,25,False
2016-07-28,24,False
2016-07-29,24,False
2016-07-30,25,False
2016-07-31,26,False
2016-08-01,25,False
2016-08-02,25,False
2016-08-03,25,False
2016-08-04,24,False
