date,value
2010-08-24,1
2010-08-25,59
2010-08-26,1
2010-08-27,1
2010-08-28,1
2010-08-29,1
2010-08-30,1
2010-08-31,1
2010-09-01,30
2010-09-02,1
2010-09-03,1
2010-09-04,1
2010-09-05,1
2010-09-06,1
2010-09-07,1
2010-09-08,29
2010-09-09,1
2010-09-10,1
2010-09-11,1
2010-09-12,36
2010-09-13,29
2010-09-14,1
2010-09-15,1
2010-09-16,1
2010-09-17,1
2010-09-18,37
2010-09-19,36
2010-09-20,1
2010-09-21,29
2010-09-22,1
2010-09-23,1
2010-09-24,1
2010-09-25,1
2010-09-26,1
2010-09-27,1
2010-09-28,55
2010-09-29,28
2010-09-30,29
2010-10-01,30
2010-10-02,1
2010-10-03,1
2010-10-04,1
2010-10-05,1
2010-10-06,1
2010-10-07,1
2010-10-08,30
2010-10-09,1
2010-10-10,1
2010-10-11,29
2010-10-12,29
2010-10-13,29
2010-10-14,29
2010-10-15,1
2010-10-16,35
2010-10-17,1
2010-10-18,1
2010-10-19,1
2010-10-20,1
2010-10-21,1
2010-10-22,29
2010-10-23,1
2010-10-24,1
2010-10-25,1
2010-10-26,1
2010-10-27,28
2010-10-28,1
2010-10-29,1
2010-10-30,1
2010-10-31,1
2010-11-01,1
2010-11-02,1
2010-11-03,1
2010-11-04,53
2010-11-05,1
2010-11-06,1
2010-11-07,1
2010-11-08,27
2010-11-09,1
2010-11-10,1
2010-11-11,28
2010-11-12,29
2010-11-13,1
2010-11-14,1
2010-11-15,1
2010-11-16,1
2010-11-17,1
2010-11-18,27
2010-11-19,1
2010-11-20,34
2010-11-21,1
2010-11-22,1
2010-11-23,1
2010-11-24,1
2010-11-25,1
2010-11-26,1
2010-11-27,1
2010-11-28,1
2010-11-29,1
2010-11-30,26
2010-12-01,39
2010-12-02,40
2010-12-03,1
2010-12-04,1
2010-12-05,1
2010-12-06,1
2010-12-07,1
2010-12-08,28
2010-12-09,1
2010-12-10,1
2010-12-11,1
2010-12-12,1
2010-12-13,1
2010-12-14,1
2010-12-15,1
2010-12-16,28
2010-12-17,58
2010-12-18,35
2010-12-19,1
2010-12-20,28
2010-12-21,1
2010-12-22,1
2010-12-23,30
2010-12-24,1
2010-12-25,1
2010-12-26,1
2010-12-27,30
2010-12-28,30
2010-12-29,1
2010-12-30,60
2010-12-31,1
2011-01-01,1
2011-01-02,1
2011-01-03,28
2011-01-04,53
2011-01-05,27
2011-01-06,1
2011-01-07,1
2011-01-08,32
2011-01-09,1
2011-01-10,26
2011-01-11,1
2011-01-12,1
2011-01-13,26
2011-01-14,1
2011-01-15,63
2011-01-16,1
2011-01-17,1
2011-01-18,1
2011-01-19,1
2011-01-20,25
2011-01-21,26
2011-01-22,1
2011-01-23,1
2011-01-24,25
2011-01-25,25
2011-01-26,1
2011-01-27,1
2011-01-28,27
2011-01-29,1
2011-01-30,1
2011-01-31,24
2011-02-01,24
2011-02-02,47
2011-02-03,1
2011-02-04,26
2011-02-05,1
2011-02-06,1
2011-02-07,1
2011-02-08,49
2011-02-09,48
2011-02-10,1
2011-02-11,1
2011-02-12,1
2011-02-13,1
2011-02-14,25
2011-02-15,24
2011-02-16,1
2011-02-17,1
2011-02-18,1
2011-02-19,1
2011-02-20,1
2011-02-21,1
2011-02-22,1
2011-02-23,25
2011-02-24,1
2011-02-25,26
2011-02-26,1
2011-02-27,1
2011-02-28,1
2011-03-01,1
2011-03-02,1
2011-03-03,25
2011-03-04,52
2011-03-05,1
2011-03-06,1
2011-03-07,25
2011-03-08,25
2011-03-09,1
2011-03-10,25
2011-03-11,49
2011-03-12,31
2011-03-13,1
2011-03-14,1
2011-03-15,25
2011-03-16,1
2011-03-17,25
2011-03-18,1
2011-03-19,31
2011-03-20,1
2011-03-21,25
2011-03-22,1
2011-03-23,24
2011-03-24,49
2011-03-25,26
2011-03-26,1
2011-03-27,1
2011-03-28,24
2011-03-29,1
2011-03-30,25
2011-03-31,73
2011-04-01,26
2011-04-02,1
2011-04-03,1
2011-04-04,25
2011-04-05,48
2011-04-06,48
2011-04-07,25
2011-04-08,1
2011-04-09,1
2011-04-10,1
2011-04-11,24
2011-04-12,1
2011-04-13,1
2011-04-14,25
2011-04-15,26
2011-04-16,1
2011-04-17,1
2011-04-18,1
2011-04-19,1
2011-04-20,26
2011-04-21,27
2011-04-22,1
2011-04-23,1
2011-04-24,1
2011-04-25,1
2011-04-26,25
2011-04-27,24
2011-04-28,25
2011-04-29,101
2011-04-30,1
2011-05-01,31
2011-05-02,1
2011-05-03,1
2011-05-04,1
2011-05-05,25
2011-05-06,51
2011-05-07,1
2011-05-08,1
2011-05-09,24
2011-05-10,48
2011-05-11,1
