date,dow
2011-01-01,12
2011-01-02,11
2011-01-03,17
2011-01-04,20
2011-01-05,19
2011-01-06,18
2011-01-07,17
2011-01-08,12
2011-01-09,9
2011-01-10,16
2011-01-11,16
2011-01-12,17
2011-01-13,17
2011-01-14,17
2011-01-15,12
2011-01-16,10
2011-01-17,13
2011-01-18,17
2011-01-19,16
2011-01-20,17
2011-01-21,17
2011-01-22,12
2011-01-23,10
2011-01-24,17
2011-01-25,18
2011-01-26,20
2011-01-27,18
2011-01-28,19
2011-01-29,11
2011-01-30,11
2011-01-31,19
2011-02-01,19
2011-02-02,18
2011-02-03,17
2011-02-04,19
2011-02-05,11
2011-02-06,10
2011-02-07,16
2011-02-08,18
2011-02-09,19
2011-02-10,17
2011-02-11,17
2011-02-12,11
2011-02-13,10
2011-02-14,16
2011-02-15,16
2011-02-16,16
2011-02-17,17
2011-02-18,16
2011-02-19,11
2011-02-20,11
2011-02-21,15
2011-02-22,20
2011-02-23,21
2011-02-24,19
2011-02-25,18
2011-02-26,11
2011-02-27,10
2011-02-28,16
2011-03-01,18
2011-03-02,17
2011-03-03,18
2011-03-04,18
2011-03-05,13
2011-03-06,11
2011-03-07,19
2011-03-08,19
2011-03-09,17
2011-03-10,18
2011-03-11,20
2011-03-12,12
2011-03-13,10
2011-03-14,18
2011-03-15,24
2011-03-16,21
2011-03-17,21
2011-03-18,20
2011-03-19,11
2011-03-20,10
2011-03-21,17
2011-03-22,18
2011-03-23,17
2011-03-24,18
2011-03-25,18
2011-03-26,11
2011-03-27,10
2011-03-28,16
2011-03-29,17
2011-03-30,17
2011-03-31,17
2011-04-01,17
2011-04-02,10
2011-04-03,10
2011-04-04,16
2011-04-05,17
2011-04-06,17
2011-04-07,16
2011-04-08,16
2011-04-09,10
2011-04-10,9
2011-04-11,16
2011-04-12,18
2011-04-13,17
2011-04-14,16
2011-04-15,15
2011-04-16,11
2011-04-17,9
2011-04-18,18
2011-04-19,18
2011-04-20,17
2011-04-21,16
2011-04-22,16
2011-04-23,11
2011-04-24,10
2011-04-25,16
2011-04-26,16
2011-04-27,16
2011-04-28,17
2011-04-29,15
2011-04-30,9
2011-05-01,9
2011-05-02,17
2011-05-03,15
2011-05-04,15
2011-05-05,17
2011-05-06,17
2011-05-07,10
2011-05-08,10
2011-05-09,15
2011-05-10,14
2011-05-11,17
2011-05-12,17
2011-05-13,16
2011-05-14,11
2011-05-15,10
2011-05-16,16
2011-05-17,15
2011-05-18,16
2011-05-19,14
2011-05-20,14
2011-05-21,10
2011-05-22,7
2011-05-23,17
2011-05-24,16
2011-05-25,15
2011-05-26,16
2011-05-27,13
2011-05-28,10
2011-05-29,8
2011-05-30,11
2011-05-31,14
2011-06-01,18
2011-06-02,17
2011-06-03,17
2011-06-04,11
2011-06-05,9
2011-06-06,15
2011-06-07,17
2011-06-08,15
2011-06-09,14
2011-06-10,17
2011-06-11,12
2011-06-12,11
2011-06-13,17
2011-06-14,16
2011-06-15,18
2011-06-16,17
2011-06-17,17
2011-06-18,11
2011-06-19,8
2011-06-20,17
2011-06-21,16
2011-06-22,16
2011-06-23,17
2011-06-24,18
2011-06-25,10
2011-06-26,10
2011-06-27,14
2011-06-28,16
2011-06-29,17
2011-06-30,16
2011-07-01,17
2011-07-02,11
2011-07-03,9
2011-07-04,11
2011-07-05,16
2011-07-06,17
2011-07-07,15
2011-07-08,18
2011-07-09,11
2011-07-10,9
2011-07-11,16
2011-07-12,20
2011-07-13,17
2011-07-14,18
2011-07-15,17
2011-07-16,12
2011-07-17,10
2011-07-18,17
2011-07-19,18
2011-07-20,17
2011-07-21,16
2011-07-22,17
2011-07-23,11
2011-07-24,11
2011-07-25,18
2011-07-26,18
2011-07-27,19
2011-07-28,22
2011-07-29,20
2011-07-30,12
2011-07-31,10
2011-08-01,24
2011-08-02,25
2011-08-03,28
2011-08-04,53
2011-08-05,72
2011-08-06,24
2011-08-07,18
2011-08-08,100
2011-08-09,93
2011-08-10,73
2011-08-11,65
2011-08-12,47
2011-08-13,20
2011-08-14,15
2011-08-15,34
2011-08-16,32
2011-08-17,26
2011-08-18,42
2011-08-19,43
2011-08-20,17
2011-08-21,15
2011-08-22,31
2011-08-23,29
2011-08-24,28
2011-08-25,26
2011-08-26,26
2011-08-27,13
2011-08-28,12
2011-08-29,23
2011-08-30,23
2011-08-31,22
2011-09-01,22
2011-09-02,23
2011-09-03,12
2011-09-04,10
2011-09-05,16
2011-09-06,27
2011-09-07,25
2011-09-08,23
2011-09-09,27
2011-09-10,13
2011-09-11,11
2011-09-12,26
2011-09-13,24
2011-09-14,22
2011-09-15,21
2011-09-16,23
2011-09-17,13
2011-09-18,11
